subset,k,aic
"('OMCLag3', 'CloseEMA4')",2,5480.91814092469
"('OMCLag3', 'CloseEMA8')",2,5480.918672581027
"('OMCLag3', 'VolumeLag3')",2,5480.918759756743
"('CloseLag1', 'CloseEMA2')",2,5480.920223651587
"('CloseLag1', 'CloseLag2')",2,5480.920323705488
"('CloseLag3', 'CloseEMA2')",2,5480.922095229645
"('CloseLag3', 'CloseEMA4')",2,5480.922383572719
"('CloseLag2', 'CloseEMA2')",2,5480.923720162546
"('CloseLag1', 'CloseLag3')",2,5480.923886793642
"('OMCLag2', 'VolumeLag2', 'VolumeLag3')",3,5482.183659560837
"('OMCLag2', 'VolumeLag1', 'VolumeLag3')",3,5482.320396505675
"('CloseLag3', 'OMCLag2', 'CloseEMA8')",3,5482.344284328499
"('OMCLag1', 'VolumeLag2', 'VolumeLag3')",3,5482.3732929661555
"('VolumeLag1', 'VolumeLag2', 'VolumeLag3')",3,5482.388444258393
"('CloseLag2', 'VolumeLag2', 'VolumeLag3')",3,5482.391265508485
"('VolumeLag2', 'VolumeLag3', 'CloseEMA2')",3,5482.391540437793
"('CloseLag1', 'VolumeLag2', 'VolumeLag3')",3,5482.392090225123
"('CloseLag3', 'VolumeLag2', 'VolumeLag3')",3,5482.392679936704
"('VolumeLag2', 'VolumeLag3', 'CloseEMA4')",3,5482.393167875285
"('VolumeLag2', 'VolumeLag3', 'CloseEMA8')",3,5482.396247021963
"('HMLLag2', 'VolumeLag2', 'VolumeLag3')",3,5482.422638623844
"('HMLLag1', 'VolumeLag2', 'VolumeLag3')",3,5482.425169143033
"('HMLLag3', 'VolumeLag2', 'VolumeLag3')",3,5482.4276312338225
"('OMCLag3', 'VolumeLag2', 'VolumeLag3')",3,5482.430586069001
"('CloseLag3', 'OMCLag2', 'VolumeLag1')",3,5482.442936470459
"('CloseLag2', 'OMCLag2', 'VolumeLag1')",3,5482.448095207666
"('OMCLag2', 'VolumeLag1', 'CloseEMA2')",3,5482.448133377726
"('CloseLag1', 'OMCLag2', 'VolumeLag1')",3,5482.448853316967
"('OMCLag2', 'VolumeLag1', 'CloseEMA4')",3,5482.449082113682
"('OMCLag2', 'VolumeLag1', 'CloseEMA8')",3,5482.451696980467
"('CloseLag3', 'OMCLag2', 'VolumeLag2')",3,5482.451716593735
"('CloseLag2', 'OMCLag2', 'VolumeLag2')",3,5482.45680723352
"('OMCLag2', 'VolumeLag2', 'CloseEMA2')",3,5482.456953156536
"('CloseLag1', 'OMCLag2', 'VolumeLag2')",3,5482.457667179368
"('OMCLag2', 'VolumeLag2', 'CloseEMA4')",3,5482.457856703473
"('OMCLag2', 'VolumeLag2', 'CloseEMA8')",3,5482.460406704977
"('OMCLag1', 'OMCLag2', 'VolumeLag1')",3,5482.481453705977
"('OMCLag1', 'OMCLag2', 'VolumeLag2')",3,5482.485913674079
"('CloseLag2', 'CloseLag3', 'OMCLag2')",3,5482.491965154613
"('CloseLag2', 'HMLLag3', 'VolumeLag2')",3,5482.496009727474
