Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.424604415893555,6.439314207324058,6.37567171352294,6.407192752418554,493729600
2010-01-05,6.435713291168213,6.4720376647979485,6.401790181206212,6.442317868487011,601904800
2010-01-06,6.333343029022217,6.461228822173879,6.326738453495593,6.435711544814556,552160000
2010-01-07,6.321636199951172,6.364265343432451,6.275705569451124,6.356760141972397,477131200
2010-01-08,6.3636651039123535,6.3642659208955,6.27600714858805,6.313231347960155,447610800
2010-01-11,6.307526111602783,6.394283814812503,6.25769238747781,6.388279655083776,462229600
2010-01-12,6.235779285430908,6.297321141564239,6.196753436605928,6.279908671728426,594459600
2010-01-13,6.323737621307373,6.33214344689604,6.127106554697644,6.2402825872169565,605892000
2010-01-14,6.287115097045898,6.318036134223677,6.27480696428911,6.3075292502818225,432894000
2010-01-15,6.182041645050049,6.352255967896085,6.180240397111936,6.33214203258716,594067600
2010-01-19,6.455524921417236,6.4600280414095295,6.221368693994184,6.254090163502941,730007600
2010-01-20,6.356159687042236,6.4708359509256335,6.289214497084316,6.451623037328589,612152800
2010-01-21,6.246284484863281,6.403590273377995,6.220467397992989,6.366665891107009,608154400
2010-01-22,5.9364776611328125,6.229173663915011,5.918766189752913,6.207559488314014,881767600
2010-01-25,6.096185207366943,6.145117514813064,6.0097272955997,6.079373957879197,1065699600
2010-01-26,6.182343006134033,6.415599447072696,6.0814755076569185,6.182643214179712,1867110000
2010-01-27,6.240584373474121,6.321638169626214,5.989915777159585,6.209663334636252,1722568400
2010-01-28,5.9827094078063965,6.169134606746448,5.964997933719202,6.152023548785045,1173502400
2010-01-29,5.7656636238098145,6.07006775595134,5.711327172186511,6.036445257825907,1245952400
2010-02-01,5.8458170890808105,5.883942707215243,5.742848139801959,5.774969597344578,749876400
2010-02-02,5.879741668701172,5.893551242463514,5.8052920576942135,5.88124311013943,698342400
2010-02-03,5.980906009674072,6.010025780496442,5.836509189817251,5.8590243856298345,615328000
2010-02-04,5.765365123748779,5.955091834178497,5.750955134874931,5.9058585071499525,757652000
2010-02-05,5.867730617523193,5.88394184875589,5.7293379425675335,5.782774162414814,850306800
2010-02-08,5.827503681182861,5.940379473765587,5.823901185519468,5.874635531155502,478270800
2010-02-09,5.889647960662842,5.928974018790053,5.846418796477058,5.896552346056654,632886800
2010-02-10,5.857524871826172,5.901955259927815,5.831707782594653,5.8806400887589,370361600
2010-02-11,5.9640960693359375,5.996518134753807,5.825703378312862,5.850320035193965,550345600
2010-02-12,6.0154314041137695,6.053256816643416,5.868933082776552,5.94728537946355,655468800
2010-02-16,6.106091499328613,6.114797130890145,6.049653595343914,6.062261931072785,543737600
2010-02-17,6.080575466156006,6.133410480528079,6.029840705731055,6.129807983872214,436396800
2010-02-18,6.091981887817383,6.120801457022376,6.031641278030102,6.052955245898117,422825200
2010-02-19,6.054154872894287,6.100085886301493,6.037343628988895,6.059859224592104,415469600
2010-02-22,6.016631126403809,6.079073190767008,5.979706743184227,6.0742702633635055,390563600
2010-02-23,5.915763854980469,6.043949875728417,5.87523697411814,6.004023010103161,575094800
2010-02-24,6.023838043212891,6.047253472561512,5.939180564440741,5.950888679926919,460566400
2010-02-25,6.0640645027160645,6.08988159583449,5.91066178196193,5.925371576991525,665126000
2010-02-26,6.142717361450195,6.159228405880867,6.064064844535981,6.075472351346229,507460800
2010-03-01,6.273904323577881,6.289214130982631,6.167632688499138,6.176638528292245,550093600
2010-03-02,6.269702911376953,6.329142510343524,6.236380213977913,6.302124182876279,566546400
2010-03-03,6.2841105461120605,6.300321780109644,6.2423832322173265,6.272403234292958,372052800
2010-03-04,6.3255391120910645,6.331843481524197,6.2630970363317555,6.28261096157948,366041200
2010-03-05,6.572905540466309,6.595420745426017,6.443218456905086,6.452524907290664,899620400
2010-03-08,6.576807975769043,6.6071277878625185,6.551891107215477,6.604726524157207,429889600
2010-03-09,6.6950860023498535,6.754525585734661,6.541082898836807,6.553691234583317,920259200
2010-03-10,6.749722003936768,6.768935316065636,6.70048949485355,6.719402198168654,596218000
2010-03-11,6.769535541534424,6.769535541534424,6.704092195246633,6.721804468964327,405700400
2010-03-12,6.802558898925781,6.836481206144874,6.777041615484182,6.825673716343427,416323600
2010-03-15,6.71970272064209,6.769535247249666,6.61193004693439,6.765933552680453,493502800
2010-03-16,6.738014221191406,6.75392484431759,6.679775472665593,6.729909006034774,446908000
2010-03-17,6.7281084060668945,6.798054872472256,6.702591525332249,6.751523830607335,450956800
2010-03-18,6.7440185546875,6.754525434105099,6.682777323785952,6.727506713515324,342109600
2010-03-19,6.671971797943115,6.76173200885215,6.64135097491963,6.748223046207236,559445600
2010-03-22,6.74702262878418,6.784548239881962,6.608930111451648,6.618536770500521,456419600
2010-03-23,6.85539436340332,6.868003102334355,6.727508130545306,6.77373937166875,602431200
2010-03-24,6.885715484619141,6.910632355434153,6.8298775811513135,6.833780687157757,597780400
2010-03-25,6.804058074951172,6.933745519804528,6.792049755532307,6.932244079065441,542284400
2010-03-26,6.931647300720215,6.963167949655849,6.8610995977058105,6.87310792203774,640875200
2010-03-29,6.976373672485352,7.020803654125469,6.9532588593037055,6.994686760993579,540744400
2010-03-30,7.080246448516846,7.129179973111215,7.032213949128383,7.102761657554443,527310000
2010-03-31,7.0547261238098145,7.103059211352657,7.038515693314387,7.069436716729487,430659600
2010-04-01,7.083845615386963,7.166700615804619,6.987181047421294,7.127074764348572,603145200
2010-04-05,7.1595001220703125,7.160100538360652,7.047825096938799,7.054129868799308,684507600
2010-04-06,7.191020488739014,7.212034254098331,7.114769234647929,7.150793404995164,447017200
2010-04-07,7.222841262817383,7.262467927712534,7.164601696981553,7.191319815261961,628502000
2010-04-08,7.203329086303711,7.2510609748194215,7.1459905379738755,7.2180388833321825,572989200
2010-04-09,7.258565902709961,7.261568785577703,7.218639424601677,7.247759211855708,334182800
2010-04-12,7.27357292175293,7.296988342927458,7.259162938492631,7.270870649079895,333026400
2010-04-13,7.27777624130249,7.288884339389927,7.238149582375143,7.260665585772697,306210800
2010-04-14,7.375644207000732,7.3792467042690655,7.327012097125794,7.36333607547915,404076400
2010-04-15,7.47260856628418,7.475910454257223,7.370239618011878,7.378344835126576,376784800
2010-04-16,7.426976203918457,7.539251594496206,7.341418925349536,7.4620993385619245,750545600
2010-04-19,7.4170708656311035,7.441687124498033,7.257963803101238,7.415870033412051,566924400
2010-04-20,7.342619895935059,7.482513624377203,7.29368719194415,7.461199256132154,738326400
2010-04-21,7.781816005706787,7.81273703759749,7.677045388278768,7.769207266158169,982391200
2010-04-22,7.999457836151123,8.007863658502545,7.6911510944169725,7.75239271278257,793424800
2010-04-23,8.130345344543457,8.170872214421923,8.015368508032093,8.045087891960296,796955600
2010-04-26,8.090426445007324,8.179285674256423,8.051099568556191,8.1618743989243,479068800
2010-04-27,7.86647367477417,8.040590386517591,7.820843641092353,8.023478923480944,709343600
2010-04-28,7.853259563446045,7.92530705882447,7.697455261463934,7.9027926674318065,758402400
2010-04-29,8.064605712890625,8.10543240966339,7.865572159222529,7.895891973713718,558840800
2010-04-30,7.837951183319092,8.122541140877006,7.835249712243143,8.084715736072933,542463600
2010-05-03,7.995858192443848,8.04178962300454,7.891688003782263,7.920507976408149,454342000
2010-05-04,7.7656049728393555,7.903998097736744,7.7076668150721765,7.891990575665869,723819600
2010-05-05,7.684848785400391,7.749392304222933,7.466902582894161,7.595989620539245,883103200
2010-05-06,7.392455577850342,7.75269647302786,5.981509199253293,7.620007701886914,1285860800
2010-05-07,7.08054256439209,7.402058491618066,6.760828686638425,7.316201415691729,1676018400
2010-05-10,7.624808311462402,7.644622040694643,7.460898741386143,7.512533718973891,984306400
2010-05-11,7.700759410858154,7.801926692641969,7.520038218220339,7.560264483580065,848906800
2010-05-12,7.867971420288086,7.899192250318425,7.766203715098684,7.782413343671963,654379600
2010-05-13,7.755996227264404,7.955329516623222,7.697156264695831,7.9018932977049365,599712400
2010-05-14,7.61970329284668,7.6995570028310905,7.490016667325645,7.659930355783363,759362800
2010-05-17,7.631715774536133,7.690555762133896,7.436284704981098,7.646125763733247,762834800
2010-05-18,7.575876235961914,7.761700586357783,7.512833355100291,7.71456913093513,782678400
2010-05-19,7.455196380615234,7.592688468632806,7.350426571047479,7.490019714719558,1025726800
2010-05-20,7.1375837326049805,7.320406022677415,7.091051886544276,7.261265438754481,1282915200
2010-05-21,7.27447509765625,7.339918845405901,6.9451537002479515,6.989283078530614,1223891200
2010-05-24,7.40776252746582,7.532046232307671,7.392752929365596,7.4233733431784765,754238800
2010-05-25,7.361532211303711,7.407762639907492,7.119570175449208,7.185313723178254,1048006400
2010-05-26,7.328210353851318,7.568972386589916,7.317402864662685,7.507430942256687,850654000
2010-05-27,7.605598449707031,7.621809688363278,7.478313411938471,7.5230432198690425,666282400
2010-05-28,7.711566925048828,7.7872177395501625,7.605595502658518,7.786917932354983,815614800
2010-06-01,7.830147743225098,7.983550456089765,7.774010037887587,7.7959248256716345,876472800
2010-06-02,7.92380952835083,7.949326006348541,7.815135833753872,7.941520598216101,688548000
2010-06-03,7.898891925811768,7.971840460166587,7.817536766477234,7.9607323642055015,650106800
2010-06-04,7.6839470863342285,7.862265797818438,7.6440206316601085,7.751491870618393,758304400
2010-06-07,7.5332489013671875,7.779713712758024,7.521540385915679,7.7538966205608935,886942000
2010-06-08,7.484915256500244,7.619105432897721,7.374441112365516,7.602293784136039,1000770400
2010-06-09,7.300891876220703,7.562068057084815,7.279578308158388,7.5491587107603255,854630000
